Cluster,Age,FamilySize,Income,Wealth,Debt,FinEdu,ESG,Digital,BankFriend,LifeStyle,Luxury,Saving,Gender,Job,Area,CitySize,Investments
0,49.36893159115481,2.080018159825169,0.7721170041680172,0.7823484061325725,0.5565966733305552,0.7182835852746474,0.6879623737707669,0.7575166839424847,0.7447084962319699,0.6968822720952107,0.7470207040813523,0.6001257505888011,0,2,1,3,3
1,78.2318837683089,2.349069934259892,0.41377362354983455,0.4243700564339674,0.21668510469586674,0.37138656924011015,0.5849521365996541,0.34340057610496466,0.6107335117977336,0.28082310690866263,0.27853659235992734,0.3888681966266072,1,5,1,2,2
2,54.869629456595746,2.7865425506363817,0.5782373265632388,0.5735474399677454,0.4985362964947916,0.49332841630669855,0.53750292202123,0.526519066396327,0.5601746385980912,0.45717411438490485,0.46003363398789987,0.5645120815713558,1,2,1,2,3
